segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label
0,0,1704,0.00,56890.22,0.000,56.890,56.890,explain
1,1705,1727,56890.22,57657.66,56.890,57.658,0.767,write
2,1728,2341,57657.66,78144.81,57.658,78.145,20.487,explain
3,2342,3181,78144.81,106172.84,78.145,106.173,28.028,write
4,3182,4475,106172.84,149349.35,106.173,149.349,43.177,explain
5,4476,4512,149349.35,150583.92,149.349,150.584,1.235,write
6,4513,4731,150583.92,157891.22,150.584,157.891,7.307,explain
7,4732,5230,157891.22,174541.21,157.891,174.541,16.650,write
8,5231,5351,174541.21,178578.58,174.541,178.579,4.037,explain
9,5352,5407,178578.58,180447.11,178.579,180.447,1.869,write
10,5408,5489,180447.11,183183.18,180.447,183.183,2.736,explain
11,5490,5927,183183.18,197797.80,183.183,197.798,14.615,write
12,5928,7141,197797.80,238304.97,197.798,238.305,40.507,explain
13,7142,7185,238304.97,239773.11,238.305,239.773,1.468,write
14,7186,7446,239773.11,248481.82,239.773,248.482,8.709,explain
15,7447,7653,248481.82,255388.72,248.482,255.389,6.907,write
16,7654,7857,255388.72,262195.53,255.389,262.196,6.807,explain
17,7858,7888,262195.53,263229.90,262.196,263.230,1.034,write
18,7889,8001,263229.90,267000.33,263.230,267.000,3.770,explain
19,8002,8149,267000.33,271938.61,267.000,271.939,4.938,write
20,8150,8597,271938.61,286886.89,271.939,286.887,14.948,explain
21,8598,8624,286886.89,287787.79,286.887,287.788,0.901,fingererase
22,8625,8663,287787.79,289089.09,287.788,289.089,1.301,explain
23,8664,8693,289089.09,290090.09,289.089,290.090,1.001,point
24,8694,8786,290090.09,293193.19,290.090,293.193,3.103,explain
25,8787,8915,293193.19,297497.50,293.193,297.497,4.304,write
26,8916,9862,297497.50,329095.76,297.497,329.096,31.598,explain
27,9863,10215,329095.76,340874.21,329.096,340.874,11.778,write
28,10216,10805,340874.21,360560.56,340.874,360.561,19.686,explain
29,10806,11022,360560.56,367801.13,360.561,367.801,7.241,write
30,11023,11337,367801.13,378311.64,367.801,378.312,10.511,explain
31,11338,11414,378311.64,380880.88,378.312,380.881,2.569,write
32,11415,12863,380880.88,429229.23,380.881,429.229,48.348,explain
33,12864,12913,429229.23,430897.56,429.229,430.898,1.668,write
34,12914,13148,430897.56,438738.74,430.898,438.739,7.841,explain
35,13149,13372,438738.74,446212.88,438.739,446.213,7.474,write
36,13373,14741,446212.88,491891.89,446.213,491.892,45.679,explain
37,14742,14749,491891.89,492158.83,491.892,492.159,0.267,write
38,14750,15017,492158.83,501101.10,492.159,501.101,8.942,explain
39,15018,15037,501101.10,501768.44,501.101,501.768,0.667,write
40,15038,15111,501768.44,504237.57,501.768,504.238,2.469,explain
41,15112,15120,504237.57,504537.87,504.238,504.538,0.300,write
42,15121,15619,504537.87,521187.85,504.538,521.188,16.650,explain
43,15620,15684,521187.85,523356.69,521.188,523.357,2.169,write
44,15685,15780,523356.69,526559.89,523.357,526.560,3.203,explain
45,15781,15800,526559.89,527227.23,526.560,527.227,0.667,slash
46,15801,15842,527227.23,528628.63,527.227,528.629,1.401,explain
47,15843,15974,528628.63,533033.03,528.629,533.033,4.404,write
48,15975,16677,533033.03,556489.82,533.033,556.490,23.457,explain
49,16678,16698,556489.82,557190.52,556.490,557.191,0.701,write
50,16699,17301,557190.52,577310.64,557.191,577.311,20.120,explain
51,17302,17341,577310.64,578645.31,577.311,578.645,1.335,write
52,17342,17905,578645.31,597464.13,578.645,597.464,18.819,explain
53,17906,17922,597464.13,598031.36,597.464,598.031,0.567,write
54,17923,17981,598031.36,600000.00,598.031,600.000,1.969,explain
55,17982,18130,600000.00,604971.64,600.000,604.972,4.972,write
56,18131,18371,604971.64,613013.01,604.972,613.013,8.041,explain
57,18372,18416,613013.01,614514.51,613.013,614.515,1.502,write
58,18417,18473,614514.51,616416.42,614.515,616.416,1.902,explain
59,18474,18505,616416.42,617484.15,616.416,617.484,1.068,write
60,18506,18609,617484.15,620954.29,617.484,620.954,3.470,explain
61,18610,18625,620954.29,621488.15,620.954,621.488,0.534,write
62,18626,18853,621488.15,629095.76,621.488,629.096,7.608,explain
63,18854,19186,629095.76,640206.87,629.096,640.207,11.111,write
64,19187,19432,640206.87,648415.08,640.207,648.415,8.208,explain
65,19433,19473,648415.08,649783.12,648.415,649.783,1.368,write
66,19474,19568,649783.12,652952.95,649.783,652.953,3.170,explain
67,19569,19593,652952.95,653787.12,652.953,653.787,0.834,out
68,19594,19662,653787.12,656089.42,653.787,656.089,2.302,explain
69,19663,19682,656089.42,656756.76,656.089,656.757,0.667,slash
70,19683,19725,656756.76,658191.52,656.757,658.192,1.435,explain
71,19726,19803,658191.52,660794.13,658.192,660.794,2.603,write
72,19804,20220,660794.13,674708.04,660.794,674.708,13.914,explain
73,20221,20243,674708.04,675475.48,674.708,675.475,0.767,write
74,20244,20445,675475.48,682215.55,675.475,682.216,6.740,explain
75,20446,20481,682215.55,683416.75,682.216,683.417,1.201,write
76,20482,20667,683416.75,689622.96,683.417,689.623,6.206,explain
77,20668,20687,689622.96,690290.29,689.623,690.290,0.667,write
78,20688,20767,690290.29,692959.63,690.290,692.960,2.669,explain
79,20768,20836,692959.63,695261.93,692.960,695.262,2.302,write
80,20837,20887,695261.93,696963.63,695.262,696.964,1.702,explain
81,20888,21046,696963.63,702268.94,696.964,702.269,5.305,write
82,21047,21916,702268.94,731297.96,702.269,731.298,29.029,explain
83,21917,21934,731297.96,731898.57,731.298,731.899,0.601,write
84,21935,22094,731898.57,737237.24,731.899,737.237,5.339,explain
85,22095,22158,737237.24,739372.71,737.237,739.373,2.135,write
86,22159,22561,739372.71,752819.49,739.373,752.819,13.447,explain
87,22562,22670,752819.49,756456.46,752.819,756.456,3.637,write
88,22671,22750,756456.46,759125.79,756.456,759.126,2.669,explain
89,22751,22764,759125.79,759592.93,759.126,759.593,0.467,write
90,22765,22923,759592.93,764898.23,759.593,764.898,5.305,explain
91,22924,22943,764898.23,765565.57,764.898,765.566,0.667,write
92,22944,23061,765565.57,769502.84,765.566,769.503,3.937,explain
93,23062,23076,769502.84,770003.34,769.503,770.003,0.501,write
94,23077,23154,770003.34,772605.94,770.003,772.606,2.603,explain
95,23155,23175,772605.94,773306.64,772.606,773.307,0.701,write
96,23176,23426,773306.64,781681.68,773.307,781.682,8.375,explain
97,23427,23561,781681.68,786186.19,781.682,786.186,4.505,write
98,23562,23683,786186.19,790256.92,786.186,790.257,4.071,explain
99,23684,23725,790256.92,791658.32,790.257,791.658,1.401,write
100,23726,24079,791658.32,803470.14,791.658,803.470,11.812,explain
101,24080,24115,803470.14,804671.34,803.470,804.671,1.201,pickerase
102,24116,24217,804671.34,808074.74,804.671,808.075,3.403,explain
103,24218,24536,808074.74,818718.72,808.075,818.719,10.644,erase
104,24537,24543,818718.72,818952.29,818.719,818.952,0.234,droperase
105,24544,24577,818952.29,820086.75,818.952,820.087,1.134,explain
106,24578,24596,820086.75,820720.72,820.087,820.721,0.634,droperase
107,24597,24887,820720.72,830430.43,820.721,830.430,9.710,explain
108,24888,24993,830430.43,833967.30,830.430,833.967,3.537,write
109,24994,25139,833967.30,838838.84,833.967,838.839,4.872,explain
110,25140,25191,838838.84,840573.91,838.839,840.574,1.735,write
111,25192,25253,840573.91,842642.64,840.574,842.643,2.069,explain
112,25254,25293,842642.64,843977.31,842.643,843.977,1.335,write
113,25294,25510,843977.31,851217.88,843.977,851.218,7.241,explain
114,25511,25765,851217.88,859726.39,851.218,859.726,8.509,write
115,25766,26525,859726.39,885085.09,859.726,885.085,25.359,explain
116,26526,26588,885085.09,887187.19,885.085,887.187,2.102,write
117,26589,26895,887187.19,897430.76,887.187,897.431,10.244,explain
118,26896,27020,897430.76,901601.60,897.431,901.602,4.171,write
119,27021,27142,901601.60,905672.34,901.602,905.672,4.071,explain
120,27143,27303,905672.34,911044.38,905.672,911.044,5.372,write
121,27304,27363,911044.38,913046.38,911.044,913.046,2.002,explain
122,27364,27380,913046.38,913613.61,913.046,913.614,0.567,point
123,27381,27712,913613.61,924691.36,913.614,924.691,11.078,explain
124,27713,28007,924691.36,934534.53,924.691,934.535,9.843,write
125,28008,28122,934534.53,938371.71,934.535,938.372,3.837,explain
126,28123,28202,938371.71,941041.04,938.372,941.041,2.669,write
127,28203,28289,941041.04,943943.94,941.041,943.944,2.903,explain
128,28290,28300,943943.94,944310.98,943.944,944.311,0.367,pickerase
129,28301,28324,944310.98,945111.78,944.311,945.112,0.801,explain
130,28325,28362,945111.78,946379.71,945.112,946.380,1.268,pickerase
131,28363,28475,946379.71,950150.15,946.380,950.150,3.770,erase
132,28476,28510,950150.15,951317.98,950.150,951.318,1.168,droperase
133,28511,28600,951317.98,954320.99,951.318,954.321,3.003,explain
134,28601,28734,954320.99,958792.13,954.321,958.792,4.471,write
135,28735,28834,958792.13,962128.80,958.792,962.129,3.337,explain
136,28835,28848,962128.80,962595.93,962.129,962.596,0.467,write
137,28849,28905,962595.93,964497.83,962.596,964.498,1.902,explain
138,28906,29369,964497.83,979979.98,964.498,979.980,15.482,write
139,29370,29530,979979.98,985352.02,979.980,985.352,5.372,explain
140,29531,29544,985352.02,985819.15,985.352,985.819,0.467,write
141,29545,29599,985819.15,987654.32,985.819,987.654,1.835,explain
142,29600,29732,987654.32,992092.09,987.654,992.092,4.438,write
143,29733,29933,992092.09,998798.80,992.092,998.799,6.707,explain
144,29934,29948,998798.80,999299.30,998.799,999.299,0.501,write
145,29949,30093,999299.30,1004137.47,999.299,1004.137,4.838,explain
146,30094,30120,1004137.47,1005038.37,1004.137,1005.038,0.901,slash
147,30121,30244,1005038.37,1009175.84,1005.038,1009.176,4.137,explain
148,30245,30271,1009175.84,1010076.74,1009.176,1010.077,0.901,pickerase
149,30272,30289,1010076.74,1010677.34,1010.077,1010.677,0.601,erase
150,30290,30309,1010677.34,1011344.68,1010.677,1011.345,0.667,droperase
151,30310,30419,1011344.68,1015015.02,1011.345,1015.015,3.670,explain
152,30420,30648,1015015.02,1022655.99,1015.015,1022.656,7.641,write
153,30649,30977,1022655.99,1033633.63,1022.656,1033.634,10.978,explain
154,30978,31013,1033633.63,1034834.83,1033.634,1034.835,1.201,write
155,31014,31110,1034834.83,1038071.40,1034.835,1038.071,3.237,explain
156,31111,31135,1038071.40,1038905.57,1038.071,1038.906,0.834,droperase
157,31136,31243,1038905.57,1042509.18,1038.906,1042.509,3.604,explain
158,31244,31488,1042509.18,1050684.02,1042.509,1050.684,8.175,write
159,31489,31684,1050684.02,1057223.89,1050.684,1057.224,6.540,explain
160,31685,31851,1057223.89,1062796.13,1057.224,1062.796,5.572,write
161,31852,31877,1062796.13,1063663.66,1062.796,1063.664,0.868,explain
162,31878,31907,1063663.66,1064664.66,1063.664,1064.665,1.001,fingererase
163,31908,32072,1064664.66,1070170.17,1064.665,1070.170,5.506,write
164,32073,32432,1070170.17,1082182.18,1070.170,1082.182,12.012,explain
165,32433,32470,1082182.18,1083450.12,1082.182,1083.450,1.268,emphasize
166,32471,33131,1083450.12,1105505.51,1083.450,1105.506,22.055,explain
