video_id,segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label,word_count,mean_word_prob,is_silence,transcript
LectureMath_00000_000_001,0,0,226,0.00,7574.24,0.000,7.574,7.574,explain,13,0.86,0,"So, is lecture 1 on December 7th. This is about system of linear"
LectureMath_00000_000_001,1,227,694,7574.24,23189.86,7.574,23.190,15.616,write,1,0.994,0,equations.
LectureMath_00000_000_001,2,695,738,23189.86,24657.99,23.190,24.658,1.468,explain,5,0.94,0,"So, when we say system"
LectureMath_00000_000_001,3,739,791,24657.99,26426.43,24.658,26.426,1.768,out,5,0.989,0,"of linear equations, it is"
LectureMath_00000_000_001,4,792,892,26426.43,29796.46,26.426,29.796,3.370,explain,9,0.967,0,basically like one equation or more than one equation.
LectureMath_00000_000_001,5,893,1150,29796.46,38405.07,29.796,38.405,8.609,write,23,0.922,0,"So, for example, if somebody gives us 3 x is equal to 1 or say x plus 2 y is equal to 3."
LectureMath_00000_000_001,6,1151,1168,38405.07,39005.67,38.405,39.006,0.601,explain,0,,1,[silence]
LectureMath_00000_000_001,7,1169,1255,39005.67,41908.58,39.006,41.909,2.903,out,7,0.994,0,"These are examples of linear equations, linear"
LectureMath_00000_000_001,8,1256,1316,41908.58,43943.94,41.909,43.944,2.035,explain,6,0.988,0,because the powers of x and
LectureMath_00000_000_001,9,1317,1419,43943.94,47380.71,43.944,47.381,3.437,out,6,0.696,0,y are no more than one
LectureMath_00000_000_001,10,1420,1455,47380.71,48581.92,47.381,48.582,1.201,explain,1,0.173,0,and
LectureMath_00000_000_001,11,1456,1488,48581.92,49683.02,48.582,49.683,1.101,write,3,0.859,0,we consider this
LectureMath_00000_000_001,12,1489,1500,49683.02,50083.42,49.683,50.083,0.400,explain,0,,1,[silence]
LectureMath_00000_000_001,13,1501,1556,50083.42,51951.95,50.083,51.952,1.869,out,6,0.971,0,as a system. we are looking
LectureMath_00000_000_001,14,1557,1640,51951.95,54754.75,51.952,54.755,2.803,explain,6,0.979,0,for common solutions of these equations.
LectureMath_00000_000_001,15,1641,1680,54754.75,56089.42,54.755,56.089,1.335,out,1,0.988,0,"So,"
LectureMath_00000_000_001,16,1681,1720,56089.42,57424.09,56.089,57.424,1.335,explain,6,0.947,0,there are two ways in which
LectureMath_00000_000_001,17,1721,2149,57424.09,71738.41,57.424,71.738,14.314,write,32,0.879,0,we can think of the system of linear equation linear equations. One is the geometric way and the other is just one which we are going to explore more in detail the
LectureMath_00000_000_001,18,2150,2167,71738.41,72339.01,71.738,72.339,0.601,explain,2,0.945,0,algebraic way.
LectureMath_00000_000_001,19,2168,2376,72339.01,79312.65,72.339,79.313,6.974,out,17,0.981,0,"Both have their advantages as well as disadvantages. In geometric way, we can apply some geometric intuition"
LectureMath_00000_000_001,20,2377,2547,79312.65,85018.35,79.313,85.018,5.706,explain,15,0.823,0,to understand what we mean by the solution of these equations and algebraic way will
LectureMath_00000_000_001,21,2548,2607,85018.35,87020.35,85.018,87.020,2.002,out,3,0.933,0,help us generalize
LectureMath_00000_000_001,22,2608,2653,87020.35,88555.22,87.020,88.555,1.535,explain,3,0.971,0,these things to
LectureMath_00000_000_001,23,2654,2696,88555.22,89989.99,88.555,89.990,1.435,write,3,0.938,0,a higher dimension.
LectureMath_00000_000_001,24,2697,2717,89989.99,90690.69,89.990,90.691,0.701,explain,0,,1,[silence]
LectureMath_00000_000_001,25,2718,2787,90690.69,93026.36,90.691,93.026,2.336,out,4,0.99,0,"So, for example, let"
LectureMath_00000_000_001,26,2788,2847,93026.36,95028.36,93.026,95.028,2.002,explain,6,0.954,0,us start with a very basic
LectureMath_00000_000_001,27,2848,3278,95028.36,109409.41,95.028,109.409,14.381,write,13,0.956,0,"thing. When somebody says x is equal to 1, what does this represent?"
LectureMath_00000_000_001,28,3279,3344,109409.41,111611.61,109.409,111.612,2.202,explain,0,,1,[silence]
LectureMath_00000_000_001,29,3345,3416,111611.61,114014.01,111.612,114.014,2.402,change,9,0.84,0,"Most of them when we look at this, we"
LectureMath_00000_000_001,30,3417,3790,114014.01,126493.16,114.014,126.493,12.479,explain,38,0.907,0,"will think x is equal to 1 is basically a point. Some people might say well this is a line, but when we say when what does this represent, we have to be careful about the ambient space"
LectureMath_00000_000_001,31,3791,4004,126493.16,133633.63,126.493,133.634,7.140,write,20,0.941,0,"in which we are working. So, the first question which we should ask is what is the ambient space in"
LectureMath_00000_000_001,32,4005,4099,133633.63,136803.47,133.634,136.803,3.170,explain,9,0.98,0,"which we are considering this equation. So, for example,"
LectureMath_00000_000_001,33,4100,4606,136803.47,153720.39,136.803,153.720,16.917,write,35,0.877,0,"if my ambient space is R 1, then x is equal to 1 is simply a point. If my ambient space happens to be R 2, then x is equal to 1 would be aligned."
LectureMath_00000_000_001,34,4607,4823,153720.39,160960.96,153.720,160.961,7.241,explain,15,0.916,0,"So, the same equation x is equal to 1 represents a totally different object depending"
LectureMath_00000_000_001,35,4824,4875,160960.96,162696.03,160.961,162.696,1.735,write,4,0.969,0,on the ambient space
LectureMath_00000_000_001,36,4876,4991,162696.03,166566.57,162.696,166.567,3.871,explain,9,0.895,0,"we are in. And when we say R 3,"
LectureMath_00000_000_001,37,4992,5460,166566.57,182215.55,166.567,182.216,15.649,write,12,0.941,0,the same x is equal to 1 will now represent a plane.
LectureMath_00000_000_001,38,5461,5956,182215.55,198765.43,182.216,198.765,16.550,explain,30,0.911,0,"So, it depends on the context in which the equation has been written. will try to answer or we will try to attempt the solution to that particular equation. So,"
